doc_id,label_id,score,relevance
1122545738,951385941,0.12022695690393448,1
1122545738,040329348,0.12157151848077774,1
1122586574,042736978,0.1948411613702774,1
1122586574,040725324,0.4714314639568329,1
1123477132,04053460X,0.14166483283042908,1
1123481415,041948718,0.4177570343017578,1
1123481415,041250354,0.20976029336452484,1
1123927022,040120465,0.46473395824432373,1
1123928916,041261534,0.2872436046600342,1
1124202757,118525069,0.37269824743270874,1
1124507019,1016429800,0.47289422154426575,1
1124507019,040602303,0.03204609081149101,1
1124507019,040605957,0.0816466435790062,1
1124902562,040262235,0.44129228591918945,1
1124902562,041375440,0.03768053278326988,1
1125044241,04064037X,0.11035799980163574,1
1125044241,040223922,0.42577028274536133,1
1125104864,04054608X,0.3453305959701538,1
1125104864,040491978,0.0028586452826857567,1
1125229918,040564312,0.39456477761268616,1
1125229918,041900219,0.1035664901137352,1
1125229918,040563995,0.10331086814403534,1
1125229918,1019753552,0.05385451763868332,1
1125461594,040714977,0.25061944127082825,1
1125541288,040221539,0.16365966200828552,1
1125541288,041502175,0.018262358382344246,1
1125929316,967555604,0.19812440872192383,1
1126197157,040318834,0.2470100075006485,1
1126254452,040789217,0.16787348687648773,1
1126524956,040212793,0.0659564733505249,1
1126524956,041274946,0.1634855419397354,1
1126524956,041703839,0.02198120579123497,1
1126895326,040005712,0.477580189704895,1
1126895326,041619536,0.2265012115240097,1
1127044397,041370422,0.32087934017181396,1
1127044397,04173534X,0.03774203360080719,1
1127075470,041985788,0.18890881538391113,1
1127193538,041352319,0.2728289067745209,1
1127193538,041887379,0.4845850467681885,1
1127194852,04010074X,0.37322720885276794,1
1127626248,041858530,0.02894691936671734,1
1127678930,04060344X,0.2259647250175476,1
1127678930,040344533,0.48851728439331055,1
1127678930,040344509,0.33609727025032043,1
1127678930,041758749,0.19609862565994263,1
1127957120,041298950,0.24999219179153442,1
1128151618,04154773X,0.1004968211054802,1
1128265826,1127660101,0.3842502534389496,1
1128407175,040654680,0.5957674384117126,1
1128407175,957319304,0.42658087611198425,1
1128407175,040120058,0.2847001850605011,1
1128506513,040621588,0.5720279216766357,1
1128506513,040234932,0.03536797687411308,1
1128594420,041210948,0.9019683599472046,1
1128649829,040027309,0.18572622537612915,1
1128649829,040557324,0.36708998680114746,1
112873415X,041215559,0.04092923551797867,1
1129003566,041239288,0.1348096877336502,1
1129003566,040111342,0.1327844113111496,1
1129003566,1105568555,0.3985922038555145,1
1129105377,040050335,0.03748174011707306,1
1129105377,04209514X,0.054474446922540665,1
1129105377,04130621X,0.5197708010673523,1
1129229319,040709590,0.23601119220256805,1
112939302X,040476898,0.45910367369651794,1
112939302X,040258017,0.19800488650798798,1
1129409880,041987217,0.3688632845878601,1
1129409880,041546806,0.34551578760147095,1
1129451992,041346629,0.46859312057495117,1
1129556387,04057833X,0.0602017343044281,1
1129956687,042058953,0.678645133972168,1
112995675X,040128148,0.1889626532793045,1
112995675X,041346815,0.21161305904388428,1
1130066061,1012624110,0.05956888198852539,1
1130119815,04146351X,0.20320846140384674,1
1130544125,040631494,0.0869302824139595,1
1130545784,04136726X,0.22067151963710785,1
1130587088,041837738,0.20264339447021484,1
1130869598,041411277,0.11572232842445374,1
1130922367,041143817,0.26509058475494385,1
1130922367,964789736,0.2116898000240326,1
1131254252,945177151,0.010510209947824478,1
113131378X,041517954,0.7069047689437866,1
113131378X,041263928,0.1387685388326645,1
113131378X,041254678,0.1553644835948944,1
1131644484,998134988,0.002954056253656745,1
1131707060,941398722,0.04749000072479248,1
113192200X,042131286,0.7067858576774597,1
113192200X,040153320,0.20401379466056824,1
113192200X,040430472,0.1972784698009491,1
113192200X,040200698,0.0833871066570282,1
1132111412,040475115,0.01829439401626587,1
1132111412,042377552,0.43924689292907715,1
1132288681,040474410,0.17085565626621246,1
1132289211,040667898,0.7472999691963196,1
1132320550,040408434,0.15381751954555511,1
113232081X,041514343,0.052436791360378265,1
113232081X,040775704,0.29683202505111694,1
113243419X,040149544,0.44981518387794495,1
113243419X,041206703,0.28917208313941956,1
113243419X,040149579,0.460432767868042,1
1132554950,040003175,0.028768600896000862,1
1132776120,041849450,0.15961477160453796,1
1135134464,042787475,0.46859312057495117,1
113518450X,040785998,0.3212093114852905,1
113518450X,041410793,0.23711496591567993,1
113518450X,101046003X,0.20768676698207855,1
1135919259,041297563,0.5489429235458374,1
113596372X,040128148,0.09016173332929611,1
113596372X,040384039,0.7288004755973816,1
1136135057,050582267,0.13702386617660522,1
1136285687,040685969,0.20768676698207855,1
1136285687,04145622X,0.21513664722442627,1
1136421777,040709590,0.23601119220256805,1
1136421777,042720184,0.12642516195774078,1
1136471588,96987071X,0.1029624417424202,1
1136660569,041907647,0.21120736002922058,1
1137003294,04124995X,0.34279826283454895,1
1137003294,040180417,0.08984016627073288,1
1137054387,041788125,0.16722258925437927,1
1137211555,04008003X,0.29262614250183105,1
1137211555,04046539X,0.19651773571968079,1
1137211555,04066466X,0.10078898072242737,1
1137919450,041310284,0.18388161063194275,1
1138135038,040781682,0.3102860748767853,1
1138135038,041715896,0.028271080926060677,1
1138233994,041424069,0.5964542031288147,1
1138233994,040707040,0.04910624772310257,1
1138233994,04053541X,0.13493956625461578,1
1138233994,040354202,0.09714410454034805,1
113827965X,040189686,0.11919278651475906,1
113827965X,999201387,0.5205526947975159,1
113827965X,041557360,0.1271459311246872,1
1138280321,041737369,0.5593228340148926,1
1138280720,041341902,0.4198899269104004,1
1138285811,040791637,0.5194231867790222,1
1138286052,118500775,0.5817872881889343,1
1138359777,950237280,0.010288563556969166,1
1139252232,041276159,0.2275560051202774,1
1139252232,041851188,0.006883979309350252,1
113948236X,040710343,0.31557604670524597,1
1139604139,041696786,0.04530966654419899,1
1139604139,041517679,0.20335495471954346,1
1140486705,940712849,0.5948179960250854,1
1140486705,04126827X,0.016878951340913773,1
1140486705,042012023,0.03766029700636864,1
1140760920,040410307,0.22457467019557953,1
1141177110,992096200,0.18211179971694946,1
1141225263,042961785,0.26132768392562866,1
1141225263,963446827,0.214697003364563,1
1141295652,040052273,0.47926658391952515,1
1141626462,041877616,0.0281472560018301,1
1141626462,04187756X,0.01959960348904133,1
114179313X,041987217,0.3688632845878601,1
1142450295,041481143,0.5845860242843628,1
1142450295,040586405,0.7499614953994751,1
1142527107,040111520,0.5332343578338623,1
1142527107,04003559X,0.2629714906215668,1
1142527107,1105568555,0.38861948251724243,1
1142528189,118616366,0.26509058475494385,1
1142528189,040039390,0.6459183096885681,1
1142659496,040189686,0.2985101640224457,1
1142659496,040375897,0.23852339386940002,1
1142659496,961739223,0.630702018737793,1
1142730921,041286502,0.14751923084259033,1
1142920429,041525469,0.1954978108406067,1
1143065301,961543965,0.6216350197792053,1
1143065301,041877632,0.12583079934120178,1
114306562X,995800995,0.6983286738395691,1
114306562X,040567303,0.42136114835739136,1
114306562X,040087670,0.12021871656179428,1
114306562X,040136736,0.4636993110179901,1
1143231066,041841182,0.06703251600265503,1
1143440366,04078570X,0.09161948412656784,1
1143539850,041535723,0.5502257943153381,1
1143539850,94910938X,0.3440282642841339,1
1143539850,04148259X,0.10096064954996109,1
1143766849,987895397,0.12400270253419876,1
1143766849,041289455,0.052382536232471466,1
1143766849,040746720,0.3281860053539276,1
1144015758,040465268,0.7681816220283508,1
1144133025,04186848X,0.6953062415122986,1
1144133025,040763080,0.21106910705566406,1
