doc_id,label_id,score,relevance
1122545436,1067978100,0.2789987027645111,1
1122545436,041634217,0.32031184434890747,1
1122568894,040118827,0.1524847447872162,1
1122825285,041788125,0.9999998211860657,1
1122825285,041694996,0.2563963532447815,1
1123118442,04061963X,0.2073473483324051,1
1123118442,040269264,0.36095961928367615,1
1123118442,041215907,0.9999722242355347,1
1123282838,041735455,0.25969260931015015,1
1123282838,041273516,0.10212148725986481,1
1123335826,040632903,0.13879546523094177,1
1123380538,040195147,0.9537309408187866,1
1123689490,040710130,0.1263243556022644,1
1123696365,040118827,0.2240908145904541,1
1123696365,040233073,0.10338620841503143,1
1123696365,040766020,0.06716535985469818,1
1123699623,040197026,0.42570677399635315,1
1123699623,041535219,0.0037734799552708864,1
1123699623,1062915038,0.2757725417613983,1
1123699623,041520890,0.03578926622867584,1
1123699623,040776069,0.13527439534664154,1
1123699623,040777049,0.1516215205192566,1
1123729433,040176789,0.24100354313850403,1
1123729433,101937358X,0.02770404890179634,1
1123729433,04129694X,0.01680639013648033,1
1123729433,040485617,0.01629861630499363,1
112392788X,1127148958,1,1
112392788X,041481143,0.9994538426399231,1
112392788X,041925483,0.9985489845275879,1
112392788X,040154645,0.5781645774841309,1
112392788X,041256557,0.44800981879234314,1
1123929173,040118827,0.08677151054143906,1
1123997977,944732348,0.04726049304008484,1
1123997977,042605865,0.991870105266571,1
112400453X,040120694,0.07477935403585434,1
112413171X,041371526,6.200359784998e-4,1
112413171X,042090377,0.00990663468837738,1
1124434933,040476898,0.3257189989089966,1
1124434933,040588610,0.05960743501782417,1
1124434933,041762010,0.022625263780355453,1
1124763562,040343529,0.9764838218688965,1
1124841288,041549473,0.021897874772548676,1
1124841288,040268799,0.062260448932647705,1
1124904875,040042960,0.5921494960784912,1
1124904875,041281365,0.23491975665092468,1
1125044330,040118827,0.448030561208725,1
112553415X,041951417,0.04461478069424629,1
1125627468,960767053,0.45054930448532104,1
1125627468,1006402748,0.05547908693552017,1
1125627468,041321650,0.3043797016143799,1
1125627468,041992555,0.06967667490243912,1
1125947721,040476898,1,1
1125947721,041762010,0.039555568248033524,1
112599987X,042645212,0.4944649636745453,1
1126032417,118587943,0.76297760009765625,1
1126032417,118629743,0.03857538476586342,1
1126032417,118810758,0.5178512334823608,1
1126032417,04053460X,0.17264828085899353,1
1126387975,042743249,0.4548756182193756,1
1126387975,04011144X,0.4562605321407318,1
1126387975,1217680330,0.023156767711043358,1
1126479837,041912233,0.03504406660795212,1
1126479837,981320554,0.10078247636556625,1
112672467X,041323408,0.03869188576936722,1
112672467X,041524799,0.03876132145524025,1
112672467X,041406605,0.20771154761314392,1
1126773506,041587472,0.003273965325206518,1
1126773506,041640772,0.02341308817267418,1
1126850640,132522136,0.10667087882757187,1
1126850640,04116489X,0.5999943017959595,1
1126850640,040787044,0.27078601717948914,1
1126850640,940431181,0.04916232079267502,1
1126921777,040586405,0.999690055847168,1
1126921777,040369102,0.8875341415405273,1
1126921777,040389359,0.8213122487068176,1
112692220X,040578844,0.07790365070104599,1
112692220X,965217167,0.1168271079659462,1
112692220X,04148259X,0.013793891295790672,1
1126970964,040207137,0.41204532980918884,1
1126970964,041223497,0.6759458780288696,1
112724275X,042773539,0.5851909518241882,1
112724275X,941370445,0.05354412645101547,1
112724275X,947302050,0.1630340814590454,1
112724275X,041760743,0.012814092449843884,1
1127248456,040709590,1,1
1127248456,1071365908,0.007911254651844501,1
1127248456,040763889,0.07213806360960007,1
1127337017,040118827,0.9940893054008484,1
1127337017,04061963X,0.34227222204208374,1
1127337017,978834275,0.5806949138641357,1
1127338234,982398735,0.15464729070663452,1
1127338234,040220478,0.007283384446054697,1
1127338234,04200280X,0.039198137819767,1
112745501X,040305503,0.11808361858129501,1
112745501X,041884469,0.074433833360672,1
112757972X,041795407,0.08611564338207245,1
1127580051,042049083,0.0794915035367012,1
1127580051,041393708,0.04671584069728851,1
1127679716,040118827,0.24783854186534882,1
1127679716,040769100,0.2435612976551056,1
1127679716,040664422,0.08118868619203568,1
1127682571,040149579,0.02322974056005478,1
1127694812,041628640,0.05469787120819092,1
1127694812,040763080,0.4629761576652527,1
1127995782,118547798,0.49901995062828064,1
1127995782,04049716X,0.03973592445254326,1
1127995782,119457679,0.5787965059280396,1
1127995782,988555794,0.011253911070525646,1
1128291320,040737810,0.19379842281341553,1
1128291320,040072592,0.020390918478369713,1
112859496X,041506499,0.09339503198862076,1
112859496X,042633966,0.1907173991203308,1
1128650363,040787044,0.9999971389770508,1
1128734265,040027309,0.0024137042928487062,1
1128734265,040059820,0.04264466091990471,1
1128996553,040457915,0.9553692936897278,1
1129105083,041132408,0.06811422854661942,1
1129140903,04062661X,0.0055837975814938545,1
1129140903,973163119,0.015195493586361408,1
1129145964,132522136,0.3737806975841522,1
1129145964,040787044,0.11318739503622055,1
1129451461,040346102,0.044243015348911285,1
112968377X,040118827,0.09745542705059052,1
112968377X,040665275,0.006447969935834408,1
112968377X,040664384,0.02452489174902439,1
112974678X,040118827,0.8715461492538452,1
112974678X,040305503,0.6527474522590637,1
112974678X,040487377,0.4648647904396057,1
112974678X,040289257,0.6422012448310852,1
1129779831,040305503,0.8080512285232544,1
1129779831,040288595,0.7887352108955383,1
1130030458,040763889,0.0025382819585502148,1
1130154297,040418022,0.19774441421031952,1
1130154297,040456609,0.5146992802619934,1
1130154297,04139710X,0.0854712575674057,1
1130154297,040457915,0.9536927938461304,1
1130297071,042605865,0.13273712992668152,1
1130297071,041155327,0.3742368817329407,1
1130297071,041320638,0.19270192086696625,1
1130297071,040028186,0.23711411654949188,1
1130323188,041361733,0.1837848722934723,1
1130323188,040709590,0.06729172170162201,1
1130326403,041703707,0.038074903190135956,1
1130704440,04229763X,0.12265733629465103,1
1130748774,1021591971,0.046126239001750946,1
1130748774,979308658,0.04180695861577988,1
1131314212,004798139,0.8037531971931458,1
1131314212,040038467,1,1
1131314212,04116489X,0.8251670002937317,1
1131314212,940431181,0.02423395775258541,1
113150576X,042771366,0.08960376679897308,1
113150576X,942208862,0.11643630266189575,1
113159651X,043264646,0.9892027974128723,1
1132007453,040266605,0.18117645382881165,1
1132007755,040714977,0.011572109535336494,1
1132007755,041481143,0.8336076736450195,1
1132061059,040261816,0.770738959312439,1
1132061059,042522692,0.2804704010486603,1
1132109280,118562940,0.23951295018196106,1
1132109280,04051255X,0.33094656467437744,1
1132109280,040734102,0.027516815811395645,1
1132189691,040061116,0.0467832125723362,1
1132193079,042465346,0.08617401123046875,1
1132193079,040763080,0.22179877758026123,1
1132232457,040355888,0.3671950697898865,1
1132232457,040435822,0.05234973505139351,1
1132232457,118829203,0.3090687394142151,1
1132286379,040372782,0.1222577840089798,1
1132286379,04187773X,0.07003050297498703,1
1132286379,04129047X,0.07175110280513763,1
1132286379,041676696,0.07438226789236069,1
1132286662,040474410,0.49932265281677246,1
1132286662,041156013,0.23317459225654602,1
1132291119,041689089,0.02348938025534153,1
113242738X,041533003,0.063102126121521,1
113242738X,041304624,0.008886960335075855,1
113242738X,040004937,0.36769095063209534,1
1132754607,040187764,0.2773818075656891,1
1132754933,041136047,0.15741212666034698,1
1132755603,04069402X,0.7283518314361572,1
1132899664,041308808,0.09030644595623016,1
1133361900,961349700,0.3046588897705078,1
1134867131,040118827,0.299350768327713,1
1134867131,040567303,0.32082852721214294,1
1134867131,040087670,0.1432386338710785,1
1135572674,040261816,0.0830308198928833,1
1135792232,1109778066,0.3106289803981781,1
1135922160,1015425712,0.4042406976222992,1
1135923000,040318125,0.3185819983482361,1
1135923000,041347900,0.694764256477356,1
1136055320,040417719,0.10687204450368881,1
1136078819,043127754,0.04984315484762192,1
1136131639,041283864,0.10368140041828156,1
1136158707,040709590,0.16662918031215668,1
1136268790,04045956X,0.2312428057193756,1
1136268790,041761987,0.05651485174894333,1
1136285245,040674738,0.4907895624637604,1
1136422854,041343417,0.040696967393159866,1
1136422854,041645405,0.23986680805683136,1
1136422854,040708918,0.034819476306438446,1
1136614478,040118827,0.5488924384117126,1
1136614478,041260147,0.3159661889076233,1
1136614478,040038572,0.10903903096914291,1
1136718281,041513444,0.019599508494138718,1
1136718281,042503078,0.047649018466472626,1
1136863826,040118827,0.10568584501743317,1
1136863826,041653386,0.05091119930148125,1
1137211431,1064921124,0.15813007950782776,1
1137211431,04003772X,0.020351704210042953,1
1137211431,042382084,0.2833142876625061,1
1137226242,040477045,0.6738719940185547,1
1137226242,040597873,0.4806889593601227,1
1137226242,041283376,0.5354386568069458,1
1137295759,04045956X,0.30346980690956116,1
1137509759,040475344,0.08671028912067413,1
1137509759,040451259,0.009992130100727081,1
1137509759,959364080,0.45993661880493164,1
1137834579,040158756,0.03627397119998932,1
1137834579,041926749,0.03356947749853134,1
1137834579,040335976,0.2858891487121582,1
113785183X,041699165,0.5121377110481262,1
113785183X,041858093,0.04496629163622856,1
1137867280,118521691,0.2044798880815506,1
1137867280,040756602,0.34903571009635925,1
1138195642,040719804,0.6338915824890137,1
1138195642,041294645,0.07449556142091751,1
1138195642,040715078,0.43761998414993286,1
1138234001,1023633701,0.009926057420670986,1
1138276529,040391973,0.08229561150074005,1
1138276529,04006798X,0.6355808973312378,1
1138276529,041972953,0.05876075476408005,1
1138276529,041698088,0.05385028198361397,1
1138282200,041256980,0.01981460489332676,1
1138397113,040118827,0.8132652044296265,1
1138397113,042457653,0.07190283387899399,1
1138397113,041157168,0.10072620213031769,1
1138568597,007652879,0.007059396244585514,1
1138568597,007709234,0.8563213348388672,1
1138568597,041734149,0.018475664779543877,1
1138597821,040538613,0.11382566392421722,1
1138597821,04143126X,0.0859217494726181,1
1138734470,118650130,0.08683324605226517,1
1138734470,040243133,0.06947442144155502,1
113898020X,040121356,1,1
1139048449,040066509,0.6029695272445679,1
1139048449,040431835,0.19341211020946503,1
1139170716,040158330,0.047086142003536224,1
1139491148,04318717X,0.01288946159183979,1
1139491148,040649377,0.08214692771434784,1
1139613723,042802016,0.9656392335891724,1
1139613723,040336204,0.03913117200136185,1
1139641409,042633966,0.0014728992246091366,1
1140544519,041620518,0.16758409142494202,1
1140735578,042848512,0.027418112382292747,1
1140735578,040708918,0.025670301169157028,1
1140818708,040118827,0.4436478018760681,1
1140818708,040130215,0.08566167205572128,1
1140818708,040336476,0.5859072804450989,1
1140834886,041872835,0.42295417189598083,1
1140834886,041282639,0.20092566311359406,1
1140946668,040118827,0.9775644540786743,1
1140946668,041960556,0.14043810963630676,1
1140946668,041163648,0.24364057183265686,1
1140946668,040228983,0.10753177106380463,1
1141196999,974557900,0.0989847332239151,1
1141196999,041738632,0.08308036625385284,1
1141379430,041520254,0.2493179738521576,1
1141379430,042045304,0.003857014700770378,1
1141480611,040118827,0.99829864501953125,1
1141480611,973332336,0.0019817266147583723,1
1141480611,04021365X,0.18553361296653748,1
1141480611,041137183,0.13827094435691833,1
1141480611,041394895,0.08188511431217194,1
1141550512,042024048,0.14787863194942474,1
1141904772,041673662,0.056641869246959686,1
1141904772,960767053,0.04064297676086426,1
1141904772,040063402,0.11219295114278793,1
1141933055,041517954,0.7314302921295166,1
1141937689,041837843,0.047406457364559174,1
1141937689,04318717X,0.01780139096081257,1
1141937689,041406605,0.005924052558839321,1
1141937689,041691482,0.01003816444426775,1
1142115135,041132920,0.12749096751213074,1
1142115135,041205677,0.8438469767570496,1
1142115135,04020832X,0.287460058927536,1
1142656616,040272664,0.3695928156375885,1
1142656942,04061963X,0.25410062074661255,1
1142656942,041618173,0.11190494149923325,1
1142954382,041798368,0.10344530642032623,1
1142954382,040663876,0.320861279964447,1
1142954382,040608476,0.0012476196279749274,1
1142954382,042090377,0.0038731612730771303,1
1143066499,040665860,0.1416659653186798,1
1143066499,041879252,0.017283247783780098,1
1143066499,040776247,0.029513174667954445,1
1143067851,041915267,0.2008201628923416,1
1143067851,041565517,0.2212129533290863,1
1143067851,040272664,0.5808634161949158,1
1143067851,042525799,0.4216929078102112,1
1143256077,041645405,0.8351604342460632,1
1143256077,041509072,0.13517603278160095,1
1143256077,040708918,0.01743452623486519,1
1143256077,040598446,0.3192576766014099,1
1143256077,040538702,0.40502795577049255,1
1143439252,042053579,0.13761572539806366,1
1143539788,973524448,0.21281293034553528,1
1143650956,040118827,0.29085075855255127,1
1143703650,041279379,0.7665980458259583,1
1143948858,041788125,0.7660704851150513,1
1143948858,040490750,0.039927102625370026,1
1144396468,040042960,0.080275759100914,1
1144396468,040451259,0.09430382400751114,1
1144400236,040763102,0.22198843955993652,1
1144400236,041454367,0.0897647812962532,1
1144485274,041333209,0.0064493827521800995,1
1144485274,04049716X,0.023810315877199173,1
1144619726,040408027,0.5089062452316284,1
1144686121,04198756X,0.005560769699513912,1
1144686121,040149579,0.9302428364753723,1
1144686121,040149374,0.09267167001962662,1
1145241301,040118827,0.20817682147026062,1
1145241301,04072560X,0.006513329688459635,1
1145241301,042412919,0.01066936831921339,1
1145241301,040636933,0.48626524209976196,1
1147295476,043245676,0.0051454221829771996,1
1147565651,041343417,0.17439107596874237,1
1147565651,041945050,0.41348323225975037,1
1147565651,94822939X,0.058438338339328766,1
1147565651,041949560,0.04913928359746933,1
1147565651,041360656,0.09091093391180038,1
1147565651,041280962,0.07760532200336456,1
1148452834,040468119,0.5383356809616089,1
